address,origin,subsystem,disposition,confidence,evidence_id
0x00401000,authored_game,AsciiManager,authored,high,ascii-manager-owner-2026-09-14
0x00401110,authored_game,AsciiManager,authored,high,ascii-manager-owner-2026-09-14
0x00401260,authored_game,AsciiManager,authored,high,ascii-manager-owner-2026-09-14
0x00401440,authored_game,AsciiManager,authored,high,ascii-manager-owner-2026-09-14
0x004014D0,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x004014F0,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401510,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401520,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401530,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x004015C0,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401630,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401690,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401700,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401760,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401A50,authored_game,AsciiManager,authored,high,ascii-text-pipeline-2026-09-14
0x00401C90,authored_game,AsciiManager,authored,high,ascii-manager-owner-2026-09-14
0x00401D20,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00401DE0,authored_game,AnmManager,authored,high,anm-vm-lifecycle-2026-09-14
0x00401F00,authored_game,AnmManager,authored,high,anm-vm-lifecycle-2026-09-14
0x00401F40,authored_game,AnmManager,authored,high,anm-vm-lifecycle-2026-09-14
0x00401FF0,authored_game,AnmManager,authored,high,anm-vm-lifecycle-2026-09-14
0x00402050,authored_game,AnmManager,authored,high,anm-vm-lifecycle-2026-09-14
0x00402160,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402230,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402440,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402640,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402720,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402850,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00402CA0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00403090,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00403850,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00403990,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00403A30,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00403C80,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404450,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404530,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x004045B0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404610,authored_game,AnmManager,authored,high,anm-interpolation-evaluators-2026-09-15
0x004049A0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404D40,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404DA0,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
0x00404E10,unknown,,review,unknown,ghidra-12.1.3-initial-inventory
