name,address,type
PbgArchive::PbgArchive,0x00434C10,function
PbgArchive::~PbgArchive,0x00434C20,function
PbgArchive::Load,0x00434C30,function
PbgArchive::Release,0x00434D10,function
PbgArchive::ReadDecompressEntry,0x00434DD0,function
PbgArchive::GetEntryDecompressedSize,0x00434EF0,function
PbgArchive::FindEntry,0x00434F30,function
PbgArchive::ParseHeader,0x00434F70,function
PbgArchive::AllocEntries,0x004350D0,function
PbgArchive::CopyFileName,0x00435220,function
PbgArchiveEntry::~PbgArchiveEntry,0x00435250,function
PbgArchive::SeekPastInt,0x00435270,function
PbgArchive::SeekPastString,0x00435280,function
PbgArchiveEntry::PbgArchiveEntry,0x004352C0,function
CPbgFile::CPbgFile,0x00435300,function
CPbgFile::~CPbgFile,0x00435340,function
CPbgFile::Open,0x00435370,function
CPbgFile::Close,0x00435460,function
CPbgFile::Read,0x00435490,function
CPbgFile::Write,0x004354D0,function
CPbgFile::Tell,0x00435510,function
CPbgFile::GetSize,0x00435530,function
CPbgFile::Seek,0x00435550,function
CPbgFile::ReadWholeFile,0x00435580,function
CPbgFile::GetFullFilePath,0x00435610,function
CMemoryPbgFile::Write,0x00436370,function
CMemoryPbgFile::CMemoryPbgFile,0x00436380,function
CMemoryPbgFile::~CMemoryPbgFile,0x004363C0,function
CMemoryPbgFile::Open,0x00436400,function
CMemoryPbgFile::Close,0x00436430,function
CMemoryPbgFile::Read,0x00436460,function
CMemoryPbgFile::Tell,0x004364D0,function
CMemoryPbgFile::GetSize,0x004364E0,function
CMemoryPbgFile::Seek,0x004364F0,function
CWin32ResourcePbgFile::Open,0x004366C0,function
PbgArchive::LoadFromResource,0x00434CA0,function
DecompressData,0x00435DC0,function
FileSystem::Decrypt,0x0044B0D0,function
FileSystem::Encrypt,0x0044B220,function
CompressData,0x004359B0,function
Lzss::InitTree,0x00435FA0,function
Lzss::InitEncoderState,0x00435FD0,function
Lzss::AddString,0x00436000,function
Lzss::DeleteString,0x00436210,function
Lzss::ContractNode,0x00436260,function
Lzss::ReplaceNode,0x004362B0,function
Lzss::FindNextNode,0x00436330,function
ReplayManager::SaveReplay,0x00429B60,function
ReplayManager::~ReplayManager,0x004294A0,function
ReplayManager::Create,0x00429610,function
ReplayManager::Load,0x004296F0,function
ReplayManager::Destroy,0x004297B0,function
ReplayManager::ProcessFrame,0x004297D0,function
RebuildPlayerOptions,0x00426F70,function
ReplayManager::Initialize,0x00428F60,function
ReplayManager::LoadReplay,0x0042A200,function
ReplayManager::BeginStage,0x0042A450,function
PlayerOptionTrailCallback,0x00427950,function
PlayerOptionSpecialCallback,0x00427AD0,function
PlayerDrawCallback,0x00426510,function
PlayerUpdateCallback,0x00426500,function
PlayerUpdateMovementAndOptions,0x004250B0,function
PlayerInitialize,0x004247F0,function
Player::Player,0x004246C0,function
PlayerResetRuntimeState,0x00424D90,function
Player::~Player,0x00424ED0,function
PlayerCreate,0x00425020,function
PlayerUpdateShots,0x00428280,function
Player::CalculateDamageToTarget,0x00428630,function
EnemyRuntimeUpdate,0x0040DC80,function
EnemySpawn,0x0040CFB0,function
EnemyManagerUpdate,0x0040D750,function
EnemyManagerUpdateCallback,0x0040D810,function
EnemyManagerDrawCallback,0x0040D820,function
EnemyFullObjectView::EnemyFullObjectView,0x0040D830,function
EnemyFullObjectView::~EnemyFullObjectView,0x0040DAE0,function
EnemyFinalizeDeath,0x0040E5F0,function
EnemyEclResourceView::LoadFile,0x0040CD20,function
EnemyManagerView::EnemyManagerView,0x0040D260,function
EnemyManagerView::Initialize,0x0040D280,function
EnemyEclResourceView::EnemyEclResourceView,0x0040D3D0,function
EnemyEclResourceView::LoadPackage,0x0040D400,function
EnemyManagerView::~EnemyManagerView,0x0040D530,function
EnemyEclResourceView::~EnemyEclResourceView,0x0040D680,function
EnemyManagerCreate,0x0040D6B0,function
EnemyFullObjectView::DispatchEclInstruction,0x0040E760,function
EnemyFullObjectView::ReadIntOperand,0x00411FC0,function
EnemyFullObjectView::ResolveIntOperand,0x00412300,function
EnemyFullObjectView::ReadFloatOperand,0x00412350,function
EnemyFullObjectView::ResolveFloatOperand,0x004126D0,function
EnemyEclHostBaseView::DispatchEclInstruction,0x0040C5E0,function
EnemyEclHostBaseView::ReadIntOperand,0x0040C690,function
EnemyEclHostBaseView::ResolveIntOperand,0x0040C6A0,function
EnemyEclHostBaseView::ReadFloatOperand,0x0040C6B0,function
EnemyEclHostBaseView::ResolveFloatOperand,0x0040C6C0,function
EnemyEclHostBaseView::ReleaseEclAllocations,0x0040C6E0,function
EnemyEclHostBaseView::EnemyEclHostBaseView,0x0040C710,function
EnemyEclHostBaseView::ResetEclState,0x0040C730,function
EnemyEclHostBaseView::~EnemyEclHostBaseView,0x0040C780,function
EnemyEclContextView::EnemyEclContextView,0x0040C800,function
EnemyEclResourceBaseView::LoadPackage,0x0040C810,function
EnemyEclResourceBaseView::GetScriptData,0x0040C820,function
EnemyEclResourceBaseView::EnemyEclResourceBaseView,0x0040C830,function
EnemyEclResourceBaseView::~EnemyEclResourceBaseView,0x0040C860,function
AnmVmView::~AnmVmView,0x00401FF0,function
AnmVmView::AnmVmView,0x00402050,function
AnmVmView::Initialize,0x00401DE0,function
AnmMatrixView::SetIdentity,0x00401F00,function
AnmVmTimerView::Initialize,0x00401F40,function
AsciiManagerView::AsciiManagerView,0x00401000,function
AsciiManagerView::GetSize,0x00401C90,function
AsciiManagerCreate,0x00401440,function
AsciiManagerView::ResetStrings,0x004014D0,function
AsciiManagerView::OnUpdate,0x004014F0,function
AsciiManagerView::OnDrawLowPriority,0x00401510,function
AsciiManagerView::OnDrawHighPriority,0x00401520,function
AsciiManagerView::AddString,0x00401530,function
AsciiManagerView::AddGuiString,0x004015C0,function
AsciiManagerView::AddFormatText,0x00401630,function
AsciiManagerView::AddSmallFormatText,0x00401690,function
AsciiManagerView::AddGuiFormatText,0x00401700,function
AsciiManagerDrawStrings,0x00401760,function
AsciiManagerDrawGuiStrings,0x00401A50,function
AsciiManagerView::Initialize,0x00401110,function
AsciiManagerView::~AsciiManagerView,0x00401260,function
AnmRenderManagerView::ClearVertexBuffer,0x00442F30,function
AnmRenderManagerView::FlushVertexBuffer,0x00442F50,function
AnmRenderManagerView::AddSpriteToDrawBuffer,0x00442FE0,function
AnmRenderManagerView::DrawNoRotation,0x00443080,function
AnmRenderManagerView::DrawNoRotationNoRound,0x00443290,function
MixAnmColor,0x004423C0,function
AnmRenderManagerView::SetRenderStateForVm3D,0x004423E0,function
AnmRenderManagerView::SetRenderStateForVm,0x004425A0,function
AnmRenderManagerView::DrawInner,0x00442670,function
AnmRenderManagerView::TranslateRotation,0x00443680,function
AnmRenderManagerView::ProjectCameraFacingQuad,0x00443B60,function
AnmRenderManagerView::DrawCameraFacingQuad,0x00443F80,function
AnmRenderManagerView::DrawMode6,0x00443FB0,function
AnmRenderManagerView::Project3DQuad,0x00444240,function
AnmRenderManagerView::DrawProjected3DQuad,0x00444580,function
AnmRenderManagerView::DrawMode7,0x004445C0,function
AnmRenderManagerView::Draw3D,0x00444760,function
AnmRenderManagerView::InitializeHorizontalTextureStrip,0x00444B10,function
AnmRenderManagerView::InitializeVerticalTextureStrip,0x00444BE0,function
AnmRenderManagerView::SetGeneratedVertexColor,0x00444CB0,function
AnmRenderManagerView::DrawGeneratedVertices,0x00444CE0,function
AnmRenderManagerView::QueueSpriteQuad,0x00444DC0,function
AnmRenderManagerView::DrawUntexturedTriangleStrip,0x00444E60,function
AnmRenderManagerView::DrawUntexturedTriangleFan,0x00444FA0,function
AnmRenderManagerView::DrawTexturedTriangleFan,0x004450E0,function
AnmRenderManagerView::Draw2D,0x004436C0,function
AnmRenderManagerView::Draw2DRotatedOrAxisAligned,0x00443910,function
AnmRenderManagerView::Draw,0x004451C0,function
AnmPairOwnerDrawCallback,0x00409230,function
AnmVmView::InitializePulsingRadialTrail,0x004452F0,function
UpdatePulsingRadialTrail,0x00445620,function
DrawPulsingRadialTrail,0x00445880,function
AnmFloat3View::FromAngleMagnitude,0x004458B0,function
RngView::GetRandomU16,0x0044B9B0,function
RngView::GetRandomU32,0x0044B9E0,function
RngView::GetRandomF32,0x0044BB20,function
RngView::GetRandomF32Signed,0x0044BB90,function
